Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
621984 R,Crass,The Feeding Of The 5000 (The Second Sitting),Crass Records,"LP, Album, RE, RM",,2019,13487145,"LP - 12""",2020-11-25 02:39:28,,,
"321984-1R, 321984-1, 321984/1",Crass,Penis Envy,"Crass Records, Crass Records, Crass Records","LP, Album, RE, RM",,2019,13763504,"LP - 12""",2020-09-28 00:17:00,,,
COTM 004,Various,San Francisco Is Doomed,Crime On The Moon,"Cass, Comp",,2014,5855072,Cassettes,2017-09-30 20:46:29,,,
"COTM 003, Crime On The Moon 003",Cold Beat,Over Me,"Crime On The Moon, Crime On The Moon","Cass, Album",,2014,6833258,Cassettes,2017-09-30 16:38:56,,,
"CRYPT LP#020, CRYPT #020",Thee Headcoats,The Earls Of Suavedom,"Crypt Records, Crypt Records","LP, Album",,1989,2306331,"LP - 12""",2015-09-14 05:42:20,,,
Custom 001,Imperial Teen,Imperial Teen,Custom 45s,"7"", Single, Whi",5,1996,2091128,"7""",2015-09-18 04:16:11,,,
Custom 002,Imperial Teen,Ivanka,Custom 45s,"7""",5,1998,1148144,"7""",2015-09-14 20:20:28,,,
DMR007,Blank Dogs,Stuck Inside The World,Daggerman Records,"7"", EP, Ltd",5,2008,1315709,"7""",2015-09-14 20:50:37,,,
DAIS 004,Cold Cave,The Trees Grew Emotions And Died,Dais Records,"12"", EP, Ltd, RP",,2009,1650540,"LP - 12""",2015-09-09 05:44:19,,,
DAIS 046,Youth Code,Youth Code,Dais Records,"LP, Album, Ltd, RP",,2014,6388070,"LP - 12""",2015-09-11 04:58:15,,,
DAIS 070,Them Are Us Too,Remain,Dais Records,"LP, Album",,2015,6820348,"LP - 12""",2017-01-14 04:19:15,,,
DAIS 072,High-Functioning Flesh,Definite Structures,Dais Records,"LP, Album, Ltd, RE, Gre",,2016,8307606,"LP - 12""",2017-08-30 01:25:27,,,
DAIS 085 ,Youth Code,Commitment To Complications,Dais Records,"LP, Album, Ltd",,2016,8394610,"LP - 12""",2016-05-29 00:11:38,,,
DAIS129,Xeno And Oaklander,Hypnos,Dais Records,"LP, Album, Ltd, Gla",,2019,13325012,"LP - 12""",2019-04-15 00:07:40,,,
DAMGOOD 161-LP,Thee Headcoatees,The Sisters Of Suave,Damaged Goods,"LP, Comp, RE",,2014,5736699,"LP - 12""",2015-12-20 05:08:31,,,
DAP-001,Sharon Jones & The Dap-Kings,Dap-Dippin' With...,Daptone Records,"LP, Album, RE, RM",,2014,5828622,"LP - 12""",2016-02-13 23:21:42,,,
DAP-004,Sharon Jones & The Dap-Kings,Naturally,Daptone Records,"LP, Album, Uni",,2005,399450,"LP - 12""",2016-12-03 04:31:36,,,
DAP-012,Sharon Jones & The Dap-Kings,"100 Days, 100 Nights",Daptone Records,"LP, Album",,2007,1104796,"LP - 12""",2015-09-14 05:14:12,,,
DAP-019,Sharon Jones & The Dap-Kings,I Learned The Hard Way,Daptone Records,"LP, Album",,2010,2214427,"LP - 12""",2016-02-13 23:19:20,,,
DAP-032,Sharon Jones & The Dap-Kings,Give The People What They Want,Daptone Records,"LP, Album",,2014,5271516,"LP - 12""",2016-12-03 04:30:15,,,
"DAP-024, ST-01",Sharon Jones & The Dap-Kings,Soul Time!,"Daptone Records, Daptone Records","LP, Comp, Ltd",,2011,3200900,"LP - 12""",2016-12-03 04:34:31,,,
"DTP26, dtp26",Casiotone For The Painfully Alone & The Donkeys,Daytrotter Presents No. 26,"Daytrotter, Daytrotter","LP, Ltd",,2014,5658997,"LP - 12""",2018-09-03 21:56:56,,,"1,2,3,4 Go!, Oakland"
DOC004,Evangelicals,The Evening Descends,Dead Oceans,LP,,2008,1290636,"LP - 12""",2015-09-14 00:09:38,,,
DOC082,Bleached,Ride Your Heart,Dead Oceans,"LP, Album",,2013,4454007,"LP - 12""",2015-09-13 23:10:16,,,
DOC122,Mitski,Bury Me At Make Out Creek,Dead Oceans,"LP, Album",,2016,9100480,"LP - 12""",2017-01-23 03:07:57,,,
DOC123,Mitski,Puberty 2,Dead Oceans,"LP, Album",,2016,8649895,"LP - 12""",2017-01-29 20:34:28,,,
"DOC133, DOC133LPC2",Japanese Breakfast,Soft Sounds From Another Planet,"Dead Oceans, Dead Oceans","LP, Album, Club, Tur",,2017,10551249,"LP - 12""",2017-11-05 00:41:37,,,
DPR-1,Scattered Fall,For All I've Lost,Deadpan Records,"7""",,2002,1229703,"7""",2019-04-14 23:44:40,,,
DW001,Fabio Frizzi,Zombi 2 / Zombie Flesh Eaters,Death Waltz Recording Company,"12"", Album, Ltd, RP, Red",,2012,3887368,"LP - 12""",2019-02-02 23:54:25,,,
DW019,New Goblin,Tour 2013 EP,Death Waltz Recording Company,"12"", EP, Ltd, Red",,2013,4977136,"LP - 12""",2015-09-14 20:04:09,,,
